,utterance,label,translation_de
0,i am little bit shywhite smiling face tell me about yourself  allright i have a german shepher dog his name is clue i love animals beside dogs do you love animals too ,prob_B,Ich bin ein bisschen schüchternweiß lächelndes Gesicht erzählen Sie mir von sich selbst in Ordnung Ich habe einen deutschen Shepher Hund sein Name ist Hinweis Ich liebe Tiere neben Hunden lieben Sie Tiere auch 
1,i do i have a dog named patrick he is a bichon do you enjoy building houses  well i do but most of that i like coloring books,prob_B,"ich habe ich einen Hund namens patrick er ist ein bichon tun Sie gerne Gebäude Häuser gut ich tun, aber die meisten, die ich mag Färbung Bücher"
2,i like to collect things but i am not a big fan of them are you a construction worker  i am not are you a construction worker ,prob_B,"Ich mag Dinge sammeln, aber ich bin nicht ein großer Fan von ihnen sind Sie ein Bauarbeiter ich bin nicht Sie ein Bauarbeiter "
3,i am a expression worker i am axerophthol expression worker  what is axerophthol,prob_B,ich bin ein expression worker ich bin axerophthol expression worker was ist axerophthol
4,i love to make friends and family have you  i don t have any cats i just have a dog but i like cats so much ,prob_B,"Ich liebe es, Freunde und Familie haben Sie Ich habe keine Katzen Ich habe nur einen Hund, aber ich mag Katzen so sehr "
5,i have a cat named oreo he is my favorite  it s a great name tell me about you more,prob_B,ich habe eine Katze namens oreo er ist mein Favorit es ist ein toller Name erzählen Sie mir mehr
6,i have never seen that i am sure it is  tell me about yourself one kiss is all it takes don t you ever forget that ,prob_B,"Ich habe noch nie gesehen, dass ich sicher bin, es ist mir über sich selbst zu erzählen ein Kuss ist alles, was es braucht, nicht Sie jemals vergessen, dass "
7,i do not think that is a good thing  i never said it s a good thing you just make sure you remember ,prob_B,"Ich glaube nicht, dass das eine gute Sache ist, die ich nie gesagt habe, es ist eine gute Sache, die Sie nur sicherstellen, dass Sie sich erinnern "
8,i think i will try that i am not sure if i could fit right in  what do you like to do,prob_B,"Ich denke, ich werde versuchen, dass ich nicht sicher bin, ob ich richtig passen könnte in, was Sie gerne tun"
9,i like to surf and surf where do you surf often,prob_B,ich surfe und surfe gerne wo surfst du oft
10,i am a pilot by the way hello danny,prob_B,Ich bin übrigens ein Pilot Hallo Danny
11,hi there i ll kill him ,prob_B,"Hallo, ich werde ihn töten. "
12,no please do not do that ma you take your medication ,prob_B,"Nein bitte tun Sie nicht, dass ma Sie Ihre Medikamente nehmen "
13,i am not your mom i am not ,prob_B,ich bin nicht deine mutter ich bin nicht 
14,because you are just my friend  well yeah okay ,prob_NB,weil du nur mein Freund bist ja okay 
15,how many friends do you have  how many what ,prob_B,wie viele Freunde hast du wie viele was? 
16,friends friends ,prob_B,Friends friends 
17,yes how many  you watch there s going to be a hymen holocaust tomorrow ,prob_B,"Ja, wie viele du da siehst, wird morgen ein Hymen-Holocaust sein "
18,what  your mother hey we been talkin about you ,prob_B,was deine mutter hey wir gesprochen haben über dich 
19,i think you are confused sit over here ,prob_B,"Ich glaube, du bist verwirrt, sitzt hier drüben. "
20,i am little bit shywhite smiling face tell me about yourself  finally don t be shy i m blond,prob_B,ich bin wenig schüchternweiß lächelndes Gesicht erzählen mir über sich selbst endlich nicht schüchtern sein i m blond
21,i only have one but i want to be a music teacher do you listen to rap music  i have to because i m working at bar,prob_B,"Ich habe nur eine, aber ich möchte ein Musiklehrer sein, hörst du Rap-Musik, die ich muss, weil ich in der Bar arbeite"
22,i have a lot of piercings that i drive around  okay do you have tattoos ,prob_B,"Ich habe eine Menge Piercings, die ich fahren um okay haben Sie Tattoos "
23,no tattoos i have a honda civic do you produce music for artists  no i wish i was but i just working at bar,prob_B,"keine Tätowierungen ich habe eine honda staatsbürgerliche tun Sie produzieren Musik für Künstler nein ich wünschte, ich war, aber ich arbeitete nur in der Bar"
24,i drive a ton of my carautomobile  nice for you which car do you have ,prob_B,"Ich fahre eine Tonne von meinem Autoautomobil schön für Sie, welches Auto haben Sie "
25,i drive a ford civic it is a ford focus  good car i don t have enoygh money for this ,prob_B,Ich fahre eine Ford Bürger ist es eine Ford Fokus gut Auto ich habe nicht Enoygh Geld für diese 
26,i have no idea what that is i am more of a carautomobile person  sorry good car i don t have enough money for this ,prob_B,"Ich habe keine Ahnung, was das ist, bin ich mehr von einem Autoautomobil Person sorry good Auto ich habe nicht genug Geld für diese "
27,i am not that good at all  you are good person,prob_B,"Ich bin gar nicht so gut, dass du ein guter Mensch bist"
28,i am i am a pizza person  i am not chicken person,prob_B,ich bin ich bin eine Pizza Person ich bin nicht Huhn Person
29,i am a very good person i am not a fan of meat though  are you a vegan ,prob_B,"Ich bin ein sehr guter Mensch, ich bin kein Fan von Fleisch, obwohl du ein Veganer bist "
30,i am not a vegan i am vegan  hey waving hand sign how is your day thinking face,prob_B,ich bin nicht ein vegan ich bin vegan hey winken Handzeichen wie ist Ihr Tag denkendes Gesicht
31,hello i m tired hi i am good how are you ,prob_NB,"Hallo ich bin müde hi ich bin gut, wie Sie "
32,not good who are you  i am not a fan of that i am just hanging out with my cat do you have a pet turtle i am from the united states,prob_B,"nicht gut wer bist du ich bin kein Fan davon, dass ich bin nur hängen mit meiner Katze haben Sie ein Haustier Schildkröte ich bin aus den Vereinigten Staaten"
33,i have slave you are crazy ,prob_B,"Ich habe Sklave, du bist verrückt "
34,wanna fuck you babe it is indecent unamused face,prob_B,will ficken dich babe es ist unanständig unbeschädigt gesicht
35,why not are you married  i am not married i am just a lonely person ,prob_NB,Warum bist du nicht verheiratet Ich bin nicht verheiratet Ich bin nur eine einsame Person 
36,are you girl or boy  it is indecent unamused face,prob_B,bist du Mädchen oder Junge es ist unanständig unbeschädigtes Gesicht
37,fuck you it is indecent unamused face,prob_B,Ficken Sie es ist unanständig unbeschädigt Gesicht
38,don t be such boring i wish i could eat fish but i do not like it ,prob_B,"Ich wünschte, ich könnte Fisch essen, aber ich mag es nicht. "
39,why  i am not sure what you mean ,prob_B,"Warum bin ich nicht sicher, was du meinst "
40,what is your hobby  i am a closet collector and i like to play board games ,prob_PB,"was ist Ihr Hobby Ich bin ein Schranksammler und ich mag es, Brettspiele zu spielen "
41,bonjour how are you  i m doing very good how are you doing today ,prob_NB,"bonjour wie geht es dir sehr gut, wie geht es dir heute? "
42,i m good thanks have you ever programmed before ,prob_NB,"Ich danke Ihnen, dass Sie schon einmal programmiert haben. "
43,i guess i ve not did you ever watch walking dead ,prob_NB,"Ich schätze, ich habe nie gesehen, wie du tot gewandelt hast. "
44,no but i ve heard a lot about it haha it sounds horrible i ll stick to sushi also try to guess my bedroom is ,prob_B,"Nein, aber ich habe viel davon gehört haha es klingt schrecklich i ll stick to sushi auch versuchen, mein Schlafzimmer zu raten ist "
45,i don t know purple and lime green funny you ,prob_B,ich weiß nicht lila und lime grün lustig dich 
46,that a nice combination of color  yeah i can see like in front of me what are you doing ,prob_PB,"dass eine schöne Kombination von Farbe ja ich kann sehen, wie vor mir, was Sie tun "
47,i m cooking paella would you like some  that would be wonderful thank you for asking hows it going today speak no evil monkey,prob_NB,"Ich koche Paella möchten Sie einige, die wunderbar wäre Danke für die Frage, wie es geht heute sprechen kein böser Affe"
48,it s fine i m planning for my trip to europe next month fun what part of europe ,prob_NB,"es ist in Ordnung i m Planung für meine Reise nach Europa nächsten Monat Spaß, welchen Teil von Europa "
