,utterance,label,translation_es,translation_it,translation_de,translation_af,translation_ru
0,i am little bit shywhite smiling face tell me about yourself  allright i have a german shepher dog his name is clue i love animals beside dogs do you love animals too ,prob_B,Soy un poco tímido blanco sonriente cara cuéntame de ti mismo todo bien tengo un perro alemán Shepher su nombre es pista me encantan los animales al lado de los perros te gustan los animales también ,Sono un po' timido viso sorridente dimmi di te tutto bene ho un pastore tedesco cane il suo nome è indizio amo gli animali accanto ai cani non ami gli animali troppo ,Ich bin ein bisschen schüchternweiß lächelndes Gesicht erzählen Sie mir von sich selbst in Ordnung Ich habe einen deutschen Shepher Hund sein Name ist Hinweis Ich liebe Tiere neben Hunden lieben Sie Tiere auch ,Ek is min skaam wit glimlag gesig vertel my van jouself alright ek het 'n kiemaar hifer hond sy naam is leidraad ek lief diere langs honde ook jy lief diere ,"Я немного застенчиво улыбаюсь, улыбаясь, расскажи мне о себе. Хорошо, у меня есть немецкая сефер-собачка. Его имя - подсказка, что я люблю животных рядом с собаками. Ты тоже любишь животных. "
1,i do i have a dog named patrick he is a bichon do you enjoy building houses  well i do but most of that i like coloring books,prob_B,Tengo un perro llamado Patrick que es un bichon te gusta construir casas así que lo hago pero la mayoría de eso me gustan los libros para colorear,"Io ho un cane di nome Patrick lui è un bichon ti piace costruire case bene lo faccio, ma la maggior parte di quello mi piace i libri da colorare","ich habe ich einen Hund namens patrick er ist ein bichon tun Sie gerne Gebäude Häuser gut ich tun, aber die meisten, die ich mag Färbung Bücher","Ek het 'n hond met die naam patrick hy is' n bichon doen jy geniet bou huise goed ek doen, maar die meeste van wat ek hou van kleur boeke","У меня есть собака по имени Патрик. Он - бичон. Тебе нравится строить дома, но больше всего я люблю раскрашивать книги."
2,i like to collect things but i am not a big fan of them are you a construction worker  i am not are you a construction worker ,prob_B,Me gusta coleccionar cosas pero no soy un gran fan de ellas eres un trabajador de la construcción no soy un trabajador de la construcción ,"Mi piace raccogliere le cose, ma non sono un grande fan di loro sei un lavoratore edile io non sono un lavoratore edile ","Ich mag Dinge sammeln, aber ich bin nicht ein großer Fan von ihnen sind Sie ein Bauarbeiter ich bin nicht Sie ein Bauarbeiter ","Ek hou van om dinge te versamel, maar ek is nie 'n groot fan van hulle is jy' n konstruksiewerker Ek is nie 'n konstruksie-werker nie ","Я люблю собирать вещи, но я их не большой фанат. Вы строительный работник. Я не строительный работник. "
3,i am a expression worker i am axerophthol expression worker  what is axerophthol,prob_B,Soy un trabajador de la expresión soy axerophthol trabajador de la expresión lo que es axerophthol,Sono un lavoratore di espressione sono lavoratore di espressione di axerophthol che cosa è axerophthol,ich bin ein expression worker ich bin axerophthol expression worker was ist axerophthol,Ek is 'n uitdrukking werker Ek is' n xeroftool uitdrukking werker wat asxerofthol is,"Я экспресс-работник, я аксерофтол-рабочий, что есть аксерофтол."
4,i love to make friends and family have you  i don t have any cats i just have a dog but i like cats so much ,prob_B,Me encanta hacer amigos y familia te tengo yo no tengo gatos yo sólo tengo un perro pero me gustan tanto los gatos ,"Mi piace fare amici e familiari hanno voi non ho tutti i gatti ho solo un cane, ma mi piacciono i gatti così tanto ","Ich liebe es, Freunde und Familie haben Sie Ich habe keine Katzen Ich habe nur einen Hund, aber ich mag Katzen so sehr ","Ek hou baie daarvan om vriende te maak en familie het jy jy ek het t het enige katte Ek het net 'n hond, maar ek hou van katte so baie ","Я люблю заводить друзей и семью. У меня нет кошек, у меня только собака, но я так люблю кошек. "
5,i have a cat named oreo he is my favorite  it s a great name tell me about you more,prob_B,Tengo un gato llamado Oreo. Es mi favorito. Es un gran nombre.,Ho un gatto di nome Oreo è il mio preferito è un grande nome mi dica di più,ich habe eine Katze namens oreo er ist mein Favorit es ist ein toller Name erzählen Sie mir mehr,Ek het 'n kat genaamd oreo hy is my gunsteling dit s'n groot naam vertel my van jou meer,"У меня есть кот по имени Орео, он мой любимый. Это прекрасное имя, расскажи мне о тебе больше."
6,i have never seen that i am sure it is  tell me about yourself one kiss is all it takes don t you ever forget that ,prob_B,Nunca he visto que estoy seguro de que es hablar de ti mismo un beso es todo lo que se necesita no olvides nunca que ,Non ho mai visto che sono sicuro che è dirmi di te stesso un bacio è tutto ciò che ci vuole Don non si dimentica mai che ,"Ich habe noch nie gesehen, dass ich sicher bin, es ist mir über sich selbst zu erzählen ein Kuss ist alles, was es braucht, nicht Sie jemals vergessen, dass ",Ek het nog nooit gesien dat ek seker is dit vertel my van jouself een soen is al wat dit neem doen t jy ooit vergeet dat ,"Я никогда не видела, что я уверена, что это говорит мне о себе один поцелуй это все, что нужно не забывай никогда "
7,i do not think that is a good thing  i never said it s a good thing you just make sure you remember ,prob_B,No creo que sea algo bueno. Nunca dije que fuera algo bueno. Sólo asegúrate de recordar. ,Non penso che sia una buona cosa che non ho mai detto è una buona cosa basta assicurarsi che ti ricordi ,"Ich glaube nicht, dass das eine gute Sache ist, die ich nie gesagt habe, es ist eine gute Sache, die Sie nur sicherstellen, dass Sie sich erinnern ",Ek dink nie dat dit 'n goeie ding is wat ek nooit gesê het dit 'n goeie ding jy net seker maak jy onthou. ,"Я не думаю, что это хорошо, что я никогда не говорила, что это хорошо, что ты просто должен быть уверен, что ты помнишь "
8,i think i will try that i am not sure if i could fit right in  what do you like to do,prob_B,Creo que voy a intentar que no estoy seguro de si podría encajar bien en lo que te gusta hacer,Penso che proverò che non sono sicuro se potrei adattarsi a destra in che cosa ti piace fare,"Ich denke, ich werde versuchen, dass ich nicht sicher bin, ob ich richtig passen könnte in, was Sie gerne tun",Ek dink ek sal probeer dat ek nie seker is of ek reg kan pas in wat doen jy hou van om te doen,"Думаю, я постараюсь, что я не уверена, смогу ли я вписаться в то, что ты любишь делать."
9,i like to surf and surf where do you surf often,prob_B,Me gusta surfear y surfear donde surfeas a menudo,mi piace fare surf e surf dove fai surf spesso,ich surfe und surfe gerne wo surfst du oft,Ek hou van om te blaai en blaai waar gaan jy dikwels deur,"Я люблю сёрфить и сёрфить, где ты часто серфингируешь."
10,i am a pilot by the way hello danny,prob_B,"Soy piloto, por cierto, hola Danny.",Sono un pilota a proposito ciao Danny,Ich bin übrigens ein Pilot Hallo Danny,Ek is 'n vlieënier deur die manier waarop hallo dany,"Я пилот, кстати, Дэнни."
11,hi there i ll kill him ,prob_B,"Hola, lo mataré. ","Ciao, lo uccido. ","Hallo, ich werde ihn töten. ",hi daar sal ek hom doodmaak ,"Привет, я убью его. "
12,no please do not do that ma you take your medication ,prob_B,"No, por favor, no hagas eso, mamá, toma tu medicación. ",no si prega di non fare che ma si prende il farmaco ,"Nein bitte tun Sie nicht, dass ma Sie Ihre Medikamente nehmen ",nee asseblief nie doen dat ma jy jou medikasie neem nie ,"Нет, пожалуйста, не делай маму ты принимаешь свои лекарства "
13,i am not your mom i am not ,prob_B,No soy tu madre. No lo soy. ,"Non sono tua madre, non sono... ",ich bin nicht deine mutter ich bin nicht ,Ek is nie jou ma ek is nie ,"Я не твоя мама, я не твоя мама. "
14,of course you are not yeah bu bu but why ,prob_B,De course you are not siah this but why ,,,,
15,because you are just my friend  well yeah okay ,prob_NB,"porque sólo eres mi amigo, bueno, sí, bien. ","Perche' sei solo un mio amico, si' ok. ",weil du nur mein Freund bist ja okay ,want jy is net my vriend goed ja okay ,"Потому что ты просто мой друг, хорошо? "
16,how many friends do you have  how many what ,prob_B,¿Cuántos amigos tienes? ¿Cuántos qué? ,Quanti amici hai? Quanti amici hai? ,wie viele Freunde hast du wie viele was? ,hoeveel vriende jy het hoeveel wat jy het ,Сколько у тебя друзей? 
17,friends friends ,prob_B,friends friends ,friends friends ,Friends friends ,frigends friends ,friends friends 
18,yes how many  you watch there s going to be a hymen holocaust tomorrow ,prob_B,"Sí, ¿cuántos ves que va a haber un holocausto de himen mañana? ","Si', quante ne guarderai domani ci sara' un olocausto imeno. ","Ja, wie viele du da siehst, wird morgen ein Hymen-Holocaust sein ","Ja, hoeveel jy daar kyk, sal môre 'n hemen - slagting wees ","Да, сколько ты будешь смотреть, завтра будет холокауст-гимен. "
19,what  your mother hey we been talkin about you ,prob_B,lo que tu madre hey hemos estado hablando de ti ,quello che tua madre hey abbiamo parlato di te ,was deine mutter hey wir gesprochen haben über dich ,wat jou ma hey ons praat oor jou ,"Что твоя мать, эй, мы говорили о тебе "
