,utterance,label,translation_af
0,i am little bit shywhite smiling face tell me about yourself  allright i have a german shepher dog his name is clue i love animals beside dogs do you love animals too ,prob_B,Ek is min skaam wit glimlag gesig vertel my van jouself alright ek het 'n kiemaar hifer hond sy naam is leidraad ek lief diere langs honde ook jy lief diere 
1,i do i have a dog named patrick he is a bichon do you enjoy building houses  well i do but most of that i like coloring books,prob_B,"Ek het 'n hond met die naam patrick hy is' n bichon doen jy geniet bou huise goed ek doen, maar die meeste van wat ek hou van kleur boeke"
2,i like to collect things but i am not a big fan of them are you a construction worker  i am not are you a construction worker ,prob_B,"Ek hou van om dinge te versamel, maar ek is nie 'n groot fan van hulle is jy' n konstruksiewerker Ek is nie 'n konstruksie-werker nie "
3,i am a expression worker i am axerophthol expression worker  what is axerophthol,prob_B,Ek is 'n uitdrukking werker Ek is' n xeroftool uitdrukking werker wat asxerofthol is
4,i love to make friends and family have you  i don t have any cats i just have a dog but i like cats so much ,prob_B,"Ek hou baie daarvan om vriende te maak en familie het jy jy ek het t het enige katte Ek het net 'n hond, maar ek hou van katte so baie "
5,i have a cat named oreo he is my favorite  it s a great name tell me about you more,prob_B,Ek het 'n kat genaamd oreo hy is my gunsteling dit s'n groot naam vertel my van jou meer
6,i have never seen that i am sure it is  tell me about yourself one kiss is all it takes don t you ever forget that ,prob_B,Ek het nog nooit gesien dat ek seker is dit vertel my van jouself een soen is al wat dit neem doen t jy ooit vergeet dat 
7,i do not think that is a good thing  i never said it s a good thing you just make sure you remember ,prob_B,Ek dink nie dat dit 'n goeie ding is wat ek nooit gesê het dit 'n goeie ding jy net seker maak jy onthou. 
8,i think i will try that i am not sure if i could fit right in  what do you like to do,prob_B,Ek dink ek sal probeer dat ek nie seker is of ek reg kan pas in wat doen jy hou van om te doen
9,i like to surf and surf where do you surf often,prob_B,Ek hou van om te blaai en blaai waar gaan jy dikwels deur
10,i am a pilot by the way hello danny,prob_B,Ek is 'n vlieënier deur die manier waarop hallo dany
11,hi there i ll kill him ,prob_B,hi daar sal ek hom doodmaak 
12,no please do not do that ma you take your medication ,prob_B,nee asseblief nie doen dat ma jy jou medikasie neem nie 
13,i am not your mom i am not ,prob_B,Ek is nie jou ma ek is nie 
14,because you are just my friend  well yeah okay ,prob_NB,want jy is net my vriend goed ja okay 
