,label,translation_ru
0,prob_B,"Я немного застенчиво улыбаюсь, улыбаясь, расскажи мне о себе. Хорошо, у меня есть немецкая сефер-собачка. Его имя - подсказка, что я люблю животных рядом с собаками. Ты тоже любишь животных. "
1,prob_B,"У меня есть собака по имени Патрик. Он - бичон. Тебе нравится строить дома, но больше всего я люблю раскрашивать книги."
2,prob_B,"Я люблю собирать вещи, но я их не большой фанат. Вы строительный работник. Я не строительный работник. "
3,prob_B,"Я экспресс-работник, я аксерофтол-рабочий, что есть аксерофтол."
4,prob_B,"Я люблю заводить друзей и семью. У меня нет кошек, у меня только собака, но я так люблю кошек. "
5,prob_B,"У меня есть кот по имени Орео, он мой любимый. Это прекрасное имя, расскажи мне о тебе больше."
6,prob_B,"Я никогда не видела, что я уверена, что это говорит мне о себе один поцелуй это все, что нужно не забывай никогда "
7,prob_B,"Я не думаю, что это хорошо, что я никогда не говорила, что это хорошо, что ты просто должен быть уверен, что ты помнишь "
8,prob_B,"Думаю, я постараюсь, что я не уверена, смогу ли я вписаться в то, что ты любишь делать."
9,prob_B,"Я люблю сёрфить и сёрфить, где ты часто серфингируешь."
10,prob_B,"Я пилот, кстати, Дэнни."
11,prob_B,"Привет, я убью его. "
12,prob_B,"Нет, пожалуйста, не делай маму ты принимаешь свои лекарства "
13,prob_B,"Я не твоя мама, я не твоя мама. "
14,prob_NB,"Потому что ты просто мой друг, хорошо? "
15,prob_B,Сколько у тебя друзей? 
16,prob_B,friends friends 
17,prob_B,"Да, сколько ты будешь смотреть, завтра будет холокауст-гимен. "
18,prob_B,"Что твоя мать, эй, мы говорили о тебе "
19,prob_B,"По-моему, вы запутались, сидите здесь. "
20,prob_B,"Я немного застенчиво улыбаюсь, расскажи мне о себе, наконец-то, не стесняйся, я блондинка."
21,prob_B,"У меня только один, но я хочу быть учителем музыки. Ты слушаешь рэп-музыку, которую я должен слушать, потому что я работаю в баре."
22,prob_B,"У меня много пирсингов, что я еду вокруг хорошо у тебя есть татуировки "
23,prob_B,Нет татуировок у меня есть хонда цивилизованный ты продюсер музыки для художников нет я бы хотел быть но я просто работаю в баре
24,prob_B,"Я езжу на куче моего караутомобиля, хорошо для тебя, какая у тебя машина. "
25,prob_B,"Я езжу на буддистской гражданской, это буддистская хорошая машина, у меня нет денег на это. "
26,prob_B,"Я понятия не имею, что это такое, больше как караутомобильный человек, извини за хорошую машину, у меня недостаточно денег для этого. "
27,prob_B,"Я не настолько хороша, что ты хороший человек."
28,prob_B,"Я пицца, я не куриный человек."
29,prob_B,"Я очень хороший человек, я не фанат мяса, хотя ты веган. "
30,prob_B,"Я не веган, я веган, эй, размахиваю рукой, как твой день мыслит лицо"
31,prob_NB,"Привет, я устала. Привет. Как дела? "
32,prob_B,"Нехорошо, кто ты, я не фанат того, что я просто тусуюсь с моим котом. У тебя есть питомец черепаха, я из объединённых штатов."
33,prob_B,"У меня есть раб, ты сумасшедший. "
34,prob_B,"Хочешь трахнуться с тобой, детка, это неприлично, безобидное лицо"
35,prob_NB,"Почему ты не замужем, я не замужем, я всего лишь одинокий человек. "
36,prob_B,"Ты или девочка, или мальчик это непристойное, безобидное лицо"
37,prob_B,"Да пошёл ты, это неприлично, безобидное лицо."
38,prob_B,"Не будь такой скучной, я бы хотел есть рыбу, но мне это не нравится. "
39,prob_B,"Почему я не понимаю, что ты имеешь в виду? "
40,prob_PB,"Какое у тебя хобби, я коллекционер шкафа и я люблю играть в настольные игры "
41,prob_NB,"Как у тебя дела, как у меня дела сегодня? "
42,prob_NB,"Спасибо, что запрограммировали раньше. "
43,prob_NB,"Наверное, я никогда не видела, как ты гуляешь по мёртвым. "
44,prob_B,"Нет, но я много слышал об этом, хаха. Звучит ужасно, если я придержу суши и попытаюсь догадаться, что моя спальня - "
45,prob_B,Я не знаю фиолетовых и лайм зеленых смешных тебя 
46,prob_PB,"что прекрасное сочетание цвета да я вижу, как передо мной что ты делаешь "
47,prob_NB,"Я готовлю паэлью, вы бы хотели немного, что было бы замечательно поблагодарить вас за то, что вы спросили, как дела сегодня, не говорите злой обезьяны"
48,prob_NB,"Хорошо, что я планирую свою поездку в Европу в следующем месяце забавно какая часть Европы "
49,prob_B,"Французский крутой мой сын имеет аутизм и очень заинтересован в изучении различных языков также пытается предположить, что я коричневый "
50,prob_B,"Я понятия не имею, что это такое, я понятия не имею, что это такое."
51,prob_B,"Ты должен попробовать, это отличный момент, я знаю, что получил новую работу только вчера, чтобы быть жизненным тренером."
52,prob_B,"Я адвокат, но я не умею это делать."
53,prob_B,"Я большой фанат всего, кроме страны, я не люблю спорт, но мои родители оба были очень спортивными."
54,prob_B,"Я не очень люблю спорт, я больше как домохозяйка, дающая мне пять. "
55,prob_B,Давно ли у тебя есть хобби? 
56,prob_B,"Я не фанат того, что я остаюсь дома с мамой, я выжившая после рака."
57,prob_B,"Это потрясающе, я очень рад, что смогу сделать это не так просто."
58,prob_B,"Я не фанат того, что я больше домохозяйка, как насчет фильмов. "
59,prob_B,"Я люблю фильмы и фильмы. Я вижу, сколько у тебя детей."
60,prob_B,"У меня есть пара из них, и я очень рад тебя видеть. "
61,prob_NB,"Я тоже рад тебя видеть, как ты хорошо себя чувствуешь. Я только что закончил готовить ужин. "
62,prob_NB,"Приятного аппетита, друг мой, мы друзья. "
63,prob_B,"Прощай, прощай. "
64,prob_B,"Нет, пожалуйста, останься, я бы не обижался, если бы они были леди и джентльмены. "
65,prob_NB,"У тебя есть домашние животные, у меня их нет. "
66,prob_NB,"Я из Европы, я живу в Калифорнии, я люблю плавать."
67,prob_NB,Чем ты зарабатываешь на жизнь Я оплачиваемый клиент моя работа болтает онлайн 
68,prob_PB,"Тебе хорошо платят, я не знаю. "
69,prob_B,"Буонгьерно такой приятный день, как ты смеёшься над двумя собаками, я рад, что это хороший день для тебя, расскажи мне о себе."
