,utterance,label,translation_it
0,i am little bit shywhite smiling face tell me about yourself  allright i have a german shepher dog his name is clue i love animals beside dogs do you love animals too ,prob_B,Sono un po' timido viso sorridente dimmi di te tutto bene ho un pastore tedesco cane il suo nome è indizio amo gli animali accanto ai cani non ami gli animali troppo 
1,i do i have a dog named patrick he is a bichon do you enjoy building houses  well i do but most of that i like coloring books,prob_B,"Io ho un cane di nome Patrick lui è un bichon ti piace costruire case bene lo faccio, ma la maggior parte di quello mi piace i libri da colorare"
2,i like to collect things but i am not a big fan of them are you a construction worker  i am not are you a construction worker ,prob_B,"Mi piace raccogliere le cose, ma non sono un grande fan di loro sei un lavoratore edile io non sono un lavoratore edile "
3,i am a expression worker i am axerophthol expression worker  what is axerophthol,prob_B,Sono un lavoratore di espressione sono lavoratore di espressione di axerophthol che cosa è axerophthol
4,i love to make friends and family have you  i don t have any cats i just have a dog but i like cats so much ,prob_B,"Mi piace fare amici e familiari hanno voi non ho tutti i gatti ho solo un cane, ma mi piacciono i gatti così tanto "
5,i have a cat named oreo he is my favorite  it s a great name tell me about you more,prob_B,Ho un gatto di nome Oreo è il mio preferito è un grande nome mi dica di più
6,i have never seen that i am sure it is  tell me about yourself one kiss is all it takes don t you ever forget that ,prob_B,Non ho mai visto che sono sicuro che è dirmi di te stesso un bacio è tutto ciò che ci vuole Don non si dimentica mai che 
7,i do not think that is a good thing  i never said it s a good thing you just make sure you remember ,prob_B,Non penso che sia una buona cosa che non ho mai detto è una buona cosa basta assicurarsi che ti ricordi 
8,i think i will try that i am not sure if i could fit right in  what do you like to do,prob_B,Penso che proverò che non sono sicuro se potrei adattarsi a destra in che cosa ti piace fare
9,i like to surf and surf where do you surf often,prob_B,mi piace fare surf e surf dove fai surf spesso
10,i am a pilot by the way hello danny,prob_B,Sono un pilota a proposito ciao Danny
11,hi there i ll kill him ,prob_B,"Ciao, lo uccido. "
12,no please do not do that ma you take your medication ,prob_B,no si prega di non fare che ma si prende il farmaco 
13,i am not your mom i am not ,prob_B,"Non sono tua madre, non sono... "
14,because you are just my friend  well yeah okay ,prob_NB,"Perche' sei solo un mio amico, si' ok. "
15,how many friends do you have  how many what ,prob_B,Quanti amici hai? Quanti amici hai? 
16,friends friends ,prob_B,friends friends 
17,yes how many  you watch there s going to be a hymen holocaust tomorrow ,prob_B,"Si', quante ne guarderai domani ci sara' un olocausto imeno. "
18,what  your mother hey we been talkin about you ,prob_B,quello che tua madre hey abbiamo parlato di te 
19,i think you are confused sit over here ,prob_B,"Penso che tu sia confuso, siediti qui. "
20,i am little bit shywhite smiling face tell me about yourself  finally don t be shy i m blond,prob_B,Sono un po 'timido volto sorridente mi dicono di te finalmente non essere timido i m biondo
21,i only have one but i want to be a music teacher do you listen to rap music  i have to because i m working at bar,prob_B,Ho solo uno ma voglio essere un insegnante di musica non si ascolta musica rap devo perché io lavoro al bar
22,i have a lot of piercings that i drive around  okay do you have tattoos ,prob_B,Ho un sacco di piercing che guido in giro ok hai tatuaggi 
23,no tattoos i have a honda civic do you produce music for artists  no i wish i was but i just working at bar,prob_B,"nessun tatuaggio ho un honda civic fai produrre musica per gli artisti no vorrei essere, ma io solo lavoro al bar"
24,i drive a ton of my carautomobile  nice for you which car do you have ,prob_B,Guido una tonnellata della mia roulotte bella per voi quale auto avete 
25,i drive a ford civic it is a ford focus  good car i don t have enoygh money for this ,prob_B,io guido un guado civico è un guado fuoco buona auto non ho soldi enoygh per questo 
26,i have no idea what that is i am more of a carautomobile person  sorry good car i don t have enough money for this ,prob_B,Non ho idea di cosa questo sia io sono più di una persona carautomobile dispiaciuto buona auto non ho abbastanza soldi per questo 
27,i am not that good at all  you are good person,prob_B,Non sono cosi' brava che tu sia una brava persona.
28,i am i am a pizza person  i am not chicken person,prob_B,Io sono una persona pizza non sono persona pollo
29,i am a very good person i am not a fan of meat though  are you a vegan ,prob_B,Sono una persona molto buona non sono un fan della carne anche se sei un vegano 
30,i am not a vegan i am vegan  hey waving hand sign how is your day thinking face,prob_B,Io non sono un vegano sono vegano hey sventolando segno mano come è la vostra giornata pensando faccia
31,hello i m tired hi i am good how are you ,prob_NB,Ciao io sono stanco ciao io sono buono come sei 
32,not good who are you  i am not a fan of that i am just hanging out with my cat do you have a pet turtle i am from the united states,prob_B,Non bene chi sei io non sono un fan di questo sto solo uscendo con il mio gatto hai una tartaruga animale domestico io sono dagli Stati Uniti
33,i have slave you are crazy ,prob_B,Ho lo schiavo che sei pazzo. 
34,wanna fuck you babe it is indecent unamused face,prob_B,wanna cazzo you babe it is indecent unamoused face
35,why not are you married  i am not married i am just a lonely person ,prob_NB,Perche' non sei sposato? Non sono sposato. Sono solo una persona sola. 
36,are you girl or boy  it is indecent unamused face,prob_B,Sei ragazza o ragazzo è indecente faccia non divertita
37,fuck you it is indecent unamused face,prob_B,cazzo si è indecente infastidito faccia
38,don t be such boring i wish i could eat fish but i do not like it ,prob_B,"non essere così noioso vorrei poter mangiare pesce, ma non mi piace "
39,why  i am not sure what you mean ,prob_B,Perche' non sono sicuro di quello che intendi? 
40,what is your hobby  i am a closet collector and i like to play board games ,prob_PB,Qual è il tuo hobby sono un collezionista di armadi e mi piace giocare a giochi da tavolo 
41,bonjour how are you  i m doing very good how are you doing today ,prob_NB,bonjour come stai io sto facendo molto bene come stai facendo oggi 
42,i m good thanks have you ever programmed before ,prob_NB,I m good grazie hai mai programmato prima 
43,i guess i ve not did you ever watch walking dead ,prob_NB,Immagino di non aver mai guardato camminare morto. 
44,no but i ve heard a lot about it haha it sounds horrible i ll stick to sushi also try to guess my bedroom is ,prob_B,no ma ho sentito molto su di esso haha suona orribile ll bastone al sushi anche cercare di indovinare la mia camera da letto è 
45,i don t know purple and lime green funny you ,prob_B,Non so viola e lime verde divertente voi 
46,that a nice combination of color  yeah i can see like in front of me what are you doing ,prob_PB,che una bella combinazione di colore sì posso vedere come di fronte a me che cosa stai facendo 
47,i m cooking paella would you like some  that would be wonderful thank you for asking hows it going today speak no evil monkey,prob_NB,I m paella cucinare vorresti un po 'che sarebbe meraviglioso grazie per aver chiesto come va oggi non parlare scimmia cattiva
48,it s fine i m planning for my trip to europe next month fun what part of europe ,prob_NB,It s fine i m pianificazione per il mio viaggio in Europa il mese prossimo divertimento che parte di europe 
49,french awesome my son has autism and is very interested in learning different languages also try to guess i have brown ,prob_B,francese impressionante mio figlio ha autismo ed è molto interessato ad imparare lingue diverse anche cercare di indovinare ho marrone 
50,i have no idea what that is i have no idea what that is,prob_B,"Non ho idea di cosa sia, non ho idea di cosa sia."
51,you should try it it is a great time  i know i got a new job just yesterday to be a life coach,prob_B,Dovreste provarlo è un grande momento so che ho ottenuto un nuovo lavoro proprio ieri per essere un life coach
52,i am a lawyer but i am not good at it  haha,prob_B,Sono un avvocato ma non sono bravo a farlo haha
