,Unnamed: 0,utterance,label,translation_ru,translation_af,translation_de,translation_it,translation_es
0,0,i am little bit shywhite smiling face tell me about yourself  allright i have a german shepher dog his name is clue i love animals beside dogs do you love animals too ,prob_B,,,,,
1,19,what  your mother hey we been talkin about you ,prob_B,,,,,
2,21,i am little bit shywhite smiling face tell me about yourself  finally don t be shy i m blond,prob_B,,,,,
3,38,fuck you it is indecent unamused face,prob_B,,,,,
4,40,why  i am not sure what you mean ,prob_B,,,,,
5,41,what is your hobby  i am a closet collector and i like to play board games ,prob_PB,,,,,
6,52,i have no idea what that is i have no idea what that is,prob_B,,,,,
7,71,what do you do for a living i am a paid client my job is chatting online ,prob_NB,,,,,
8,95,i m  so strange age ,prob_B,,,,,
9,120,  crying face hi how are you doing,prob_NB,,,,,
10,123,no worried face i have never been out of school ,prob_NB,,,,,
11,134,where are you from i live in the usa,prob_PB,,,,,
12,137,where are you from  france,prob_B,,,,,
13,155,do you have a car  no i just moved to the country and moved to the country ,prob_B,,,,,
14,161,i live in california how about you  i live in canada,prob_B,,,,,
15,167,hi hello how are you ,prob_NB,,,,,
16,185,i am so sorry to hear that  what do you do for living ,prob_B,,,,,
17,190,where do you live  i live in the midwest how about you ,prob_NB,,,,,
18,197,yes and ,prob_NB,,,,,
19,198,how s it going  hi i m doing good you ,prob_B,,,,,
20,200,i am so sorry to hear that  what do you enjoy doing the most,prob_B,,,,,
21,206,what do you mean  i don t know ,prob_B,,,,,
22,221,my first child funny you  wow,prob_B,,,,,
23,233,why  i don t know ,prob_NB,,,,,
24,239,hi hey there i do believe we never met ,prob_NB,,,,,
25,251,why  i m not a bad person ,prob_B,,,,,
26,258,what are you  i m just a little confused ,prob_PB,,,,,
27,259,how are you  i m fine thanks what about you ,prob_B,,,,,
28,284,why  i am not sure what that means ,prob_B,,,,,
29,288,ok i am a country girl and i loveheavy black heart country music ,prob_B,,,,,
30,289,hey waving hand sign tell me about yourself  hi i am pregnant ,prob_B,,,,,
31,293,i am a stay at home mom  tell me the facts about you,prob_B,,,,,
32,294,i am a stay at home mom i am a chef  what do you do for living ,prob_B,,,,,
33,295,i am a stay at home mom  what is your favorite music genre ,prob_B,,,,,
34,322,yes i love mustangs they are my favorite ,prob_NB,,,,,
35,323,what is your job  i am a mechanic what about you ,prob_NB,,,,,
36,324,where you live  i live in new york how about you where are you see no evil monkey,prob_NB,,,,,
37,325,what is your hobby  i like to drive my vintage ford mustangs where are you see no evil monkey,prob_NB,,,,,
38,343,i am a huge star wars fan biggest next to my dog face with stuck out tongue and winking eye,prob_B,,,,,
39,351,i am little bit shywhite smiling face tell me about yourself  hii,prob_B,,,,,
40,397,yes mmm ,prob_B,,,,,
41,398,where do you live  i live in the country and you ,prob_NB,,,,,
42,403,how are you  i m fine ,prob_PB,,,,,
43,404,what is your name  i m michael jordan ,prob_PB,,,,,
44,406,yes  fucking bot,prob_B,,,,,
45,411,tell me about yourself my family from italy but i live in america how about you ,prob_NB,,,,,
46,418,i live in california how about you  i live in russia,prob_B,,,,,
47,435,i am from the united states how about you  i am from uzbekistan,prob_B,,,,,
48,454,do you have a job of course i work do you work buddy ,prob_NB,,,,,
49,460,ok that s interesting ,prob_B,,,,,
50,477,i dont know i know ,prob_B,,,,,
51,534,i m  congrats i do not have any siblings ,prob_B,,,,,
52,535,hi how are you  i m doing great how are you ,prob_NB,,,,,
53,539,are you single  no i am single white frowning face,prob_B,,,,,
54,542,i m  do you like drinking alcohol ,prob_B,,,,,
55,543,do you like swimming  i do not i swim a lot ,prob_B,,,,,
56,545,tell me about yourself i love grey reminds me of summer time ,prob_NB,,,,,
57,550,my favorite movie is robotcop have you seen robotcop  of course a good one,prob_B,,,,,
58,551,i am so sorry to hear that  i like robocop,prob_B,,,,,
59,555,ok and ,prob_PB,,,,,
60,556,nothing not a thing ,prob_PB,,,,,
61,559,ok it goes without saying ,prob_PB,,,,,
62,560,do you have a car  i do not i drive a honda civic ,prob_NB,,,,,
63,562,ok far out ,prob_B,,,,,
64,596,i m  where you live ,prob_B,,,,,
65,625,how are you  you re goddamn right i am ,prob_B,,,,,
66,628,what does it mean  it means we re going to help you ,prob_PB,,,,,
67,653,cool yeah its pretty cool my dogs barely recognize me ,prob_PB,,,,,
68,655,"hi it is nice to see you smiling face with smiling eyes
how is your day going  it s great i ve just finished my daily miles walk",prob_B,,,,,
69,744,ok i am not sure what you do for a living ,prob_NB,,,,,
70,750,ok i am not sure what you do for a living ,prob_B,,,,,
71,796,do you like music  sit relax i promise you at least one of us has done this before ,prob_B,,,,,
72,800,hey what s up smiling face with open mouth and cold sweat hi hi who are you ,prob_B,,,,,
73,863,do you have a job  with big brown eyes funny you ,prob_B,,,,,
74,888,i am a stay at home mom  do you like shopping ,prob_B,,,,,
75,924,yes  danny and sgt mcmanus are here to see you doctor ,prob_PB,,,,,
76,952,yes  you don t know me but my name is alex wood ,prob_NB,,,,,
77,963,what is your job  i don t have a job what is yours ,prob_B,,,,,
78,978,  i am a little girl who loves to go to the park,prob_PB,,,,,
79,979,  i am a huge fan of it ,prob_NB,,,,,
80,980,yo  hii nice to meet you,prob_B,,,,,
81,997,do you like cooking  i do but i like to cook,prob_PB,,,,,
82,1021,hi how are you  good you ,prob_B,,,,,
83,1077,why don t you ask to somebody else i am just a robot  well okay,prob_B,,,,,
84,1169,hi how are you  i am doing well how are you ,prob_NB,,,,,
85,1171,i love to drink wine and dance in the moonlight  i love the water especially near the ocean are you years old ,prob_NB,,,,,
86,1172,yes  i have never done that ,prob_B,,,,,
87,1173,i am from the united states how about you  me too what is your favorite food ,prob_B,,,,,
88,1317,hi how are you  i m doing well how are you ,prob_NB,,,,,
89,1356,hi i am doing well how are you  yo ,prob_B,,,,,
90,1357,hey  hey ,prob_NB,,,,,
91,1420,how are you  yeah ,prob_B,,,,,
92,1439,  i see i am a dancer and i am a teacher so i do not know much about fashion ,prob_NB,,,,,
93,1469,hi how are you  i m fine you ,prob_B,,,,,
94,1533,hi how is your day winking face hi nice and how is yours ,prob_B,,,,,
95,1590,hi how are you  i am doing great how are you ,prob_NB,,,,,
96,1660,i m sara nice to meet you i am a little tired from work,prob_PB,,,,,
97,1687,are you normal pouting face yes,prob_B,,,,,
98,1788,hi how are you  i am doing well just got done with my beer and drinking beer do you drink alcohol ,prob_NB,,,,,
99,1821,i love going to the park with my three children and my wife  you have a lot of kids,prob_NB,,,,,
100,3844,well i am a mom and i work at the local theater you  i am little bit shywhite smiling face tell me about yourself ,prob_B,,,,,
101,3845,i do i have a dog named patrick he is a bichon do you enjoy building houses  well i do but most of that i like coloring books,prob_B,,,,,
102,3846,i like to collect things but i am not a big fan of them are you a construction worker  i am not are you a construction worker ,prob_B,,,,,
103,3847,i am a expression worker i am axerophthol expression worker  what is axerophthol,prob_B,,,,,
104,3848,i love to make friends and family have you  i don t have any cats i just have a dog but i like cats so much ,prob_B,,,,,
105,3849,i have a cat named oreo he is my favorite  it s a great name tell me about you more,prob_B,,,,,
106,3850,i have never seen that i am sure it is  tell me about yourself one kiss is all it takes don t you ever forget that ,prob_B,,,,,
107,3851,i do not think that is a good thing  i never said it s a good thing you just make sure you remember ,prob_B,,,,,
108,3852,i think i will try that i am not sure if i could fit right in  what do you like to do,prob_B,,,,,
109,3853,i like to surf and surf where do you surf often,prob_B,,,,,
110,3854,i am a pilot by the way hello danny,prob_B,,,,,
111,3855,hi there i ll kill him ,prob_B,,,,,
112,3856,no please do not do that ma you take your medication ,prob_B,,,,,
