,utterance,label,translation_es
0,i am little bit shywhite smiling face tell me about yourself  allright i have a german shepher dog his name is clue i love animals beside dogs do you love animals too ,prob_B,Soy un poco tímido blanco sonriente cara cuéntame de ti mismo todo bien tengo un perro alemán Shepher su nombre es pista me encantan los animales al lado de los perros te gustan los animales también 
1,i do i have a dog named patrick he is a bichon do you enjoy building houses  well i do but most of that i like coloring books,prob_B,Tengo un perro llamado Patrick que es un bichon te gusta construir casas así que lo hago pero la mayoría de eso me gustan los libros para colorear
2,i like to collect things but i am not a big fan of them are you a construction worker  i am not are you a construction worker ,prob_B,Me gusta coleccionar cosas pero no soy un gran fan de ellas eres un trabajador de la construcción no soy un trabajador de la construcción 
3,i am a expression worker i am axerophthol expression worker  what is axerophthol,prob_B,Soy un trabajador de la expresión soy axerophthol trabajador de la expresión lo que es axerophthol
4,i love to make friends and family have you  i don t have any cats i just have a dog but i like cats so much ,prob_B,Me encanta hacer amigos y familia te tengo yo no tengo gatos yo sólo tengo un perro pero me gustan tanto los gatos 
5,i have a cat named oreo he is my favorite  it s a great name tell me about you more,prob_B,Tengo un gato llamado Oreo. Es mi favorito. Es un gran nombre.
6,i have never seen that i am sure it is  tell me about yourself one kiss is all it takes don t you ever forget that ,prob_B,Nunca he visto que estoy seguro de que es hablar de ti mismo un beso es todo lo que se necesita no olvides nunca que 
7,i do not think that is a good thing  i never said it s a good thing you just make sure you remember ,prob_B,No creo que sea algo bueno. Nunca dije que fuera algo bueno. Sólo asegúrate de recordar. 
8,i think i will try that i am not sure if i could fit right in  what do you like to do,prob_B,Creo que voy a intentar que no estoy seguro de si podría encajar bien en lo que te gusta hacer
9,i like to surf and surf where do you surf often,prob_B,Me gusta surfear y surfear donde surfeas a menudo
10,i am a pilot by the way hello danny,prob_B,"Soy piloto, por cierto, hola Danny."
11,hi there i ll kill him ,prob_B,"Hola, lo mataré. "
12,no please do not do that ma you take your medication ,prob_B,"No, por favor, no hagas eso, mamá, toma tu medicación. "
13,i am not your mom i am not ,prob_B,No soy tu madre. No lo soy. 
14,of course you are not yeah bu bu but why ,prob_B,De course you are not siah this but why 
15,because you are just my friend  well yeah okay ,prob_NB,"porque sólo eres mi amigo, bueno, sí, bien. "
16,how many friends do you have  how many what ,prob_B,¿Cuántos amigos tienes? ¿Cuántos qué? 
17,friends friends ,prob_B,friends friends 
18,yes how many  you watch there s going to be a hymen holocaust tomorrow ,prob_B,"Sí, ¿cuántos ves que va a haber un holocausto de himen mañana? "
19,what  your mother hey we been talkin about you ,prob_B,lo que tu madre hey hemos estado hablando de ti 
20,i think you are confused sit over here ,prob_B,Creo que estás confundido. Siéntate aquí. 
21,i am little bit shywhite smiling face tell me about yourself  finally don t be shy i m blond,prob_B,Soy un poco tímido blanco sonriente cara cuéntame de ti finalmente no seas tímido soy rubio
22,i only have one but i want to be a music teacher do you listen to rap music  i have to because i m working at bar,prob_B,Sólo tengo una pero quiero ser profesora de música. Escuchas música rap. Tengo que hacerlo porque trabajo en el bar.
23,i have a lot of piercings that i drive around  okay do you have tattoos ,prob_B,"Tengo un montón de piercings por los que conduzco bien, ¿tienes tatuajes? "
24,no tattoos i have a honda civic do you produce music for artists  no i wish i was but i just working at bar,prob_B,No hay tatuajes tengo una honda cívica ¿produces música para artistas no me gustaría estar pero yo sólo trabajando en el bar
25,i drive a ton of my carautomobile  nice for you which car do you have ,prob_B,Conduzco una tonelada de mi coche automóvil agradable para ti qué coche tienes 
26,i drive a ford civic it is a ford focus  good car i don t have enoygh money for this ,prob_B,Conduzco un vado cívico es un Ford foco buen coche no tengo dinero enoygh para esto 
