,utterance,label,translation_ru
0,i am little bit shywhite smiling face tell me about yourself  allright i have a german shepher dog his name is clue i love animals beside dogs do you love animals too ,prob_B,"Я немного застенчиво улыбаюсь, улыбаясь, расскажи мне о себе. Хорошо, у меня есть немецкая сефер-собачка. Его имя - подсказка, что я люблю животных рядом с собаками. Ты тоже любишь животных. "
1,i do i have a dog named patrick he is a bichon do you enjoy building houses  well i do but most of that i like coloring books,prob_B,"У меня есть собака по имени Патрик. Он - бичон. Тебе нравится строить дома, но больше всего я люблю раскрашивать книги."
2,i like to collect things but i am not a big fan of them are you a construction worker  i am not are you a construction worker ,prob_B,"Я люблю собирать вещи, но я их не большой фанат. Вы строительный работник. Я не строительный работник. "
3,i am a expression worker i am axerophthol expression worker  what is axerophthol,prob_B,"Я экспресс-работник, я аксерофтол-рабочий, что есть аксерофтол."
4,i love to make friends and family have you  i don t have any cats i just have a dog but i like cats so much ,prob_B,"Я люблю заводить друзей и семью. У меня нет кошек, у меня только собака, но я так люблю кошек. "
5,i have a cat named oreo he is my favorite  it s a great name tell me about you more,prob_B,"У меня есть кот по имени Орео, он мой любимый. Это прекрасное имя, расскажи мне о тебе больше."
6,i have never seen that i am sure it is  tell me about yourself one kiss is all it takes don t you ever forget that ,prob_B,"Я никогда не видела, что я уверена, что это говорит мне о себе один поцелуй это все, что нужно не забывай никогда "
7,i do not think that is a good thing  i never said it s a good thing you just make sure you remember ,prob_B,"Я не думаю, что это хорошо, что я никогда не говорила, что это хорошо, что ты просто должен быть уверен, что ты помнишь "
8,i think i will try that i am not sure if i could fit right in  what do you like to do,prob_B,"Думаю, я постараюсь, что я не уверена, смогу ли я вписаться в то, что ты любишь делать."
9,i like to surf and surf where do you surf often,prob_B,"Я люблю сёрфить и сёрфить, где ты часто серфингируешь."
10,i am a pilot by the way hello danny,prob_B,"Я пилот, кстати, Дэнни."
11,hi there i ll kill him ,prob_B,"Привет, я убью его. "
12,no please do not do that ma you take your medication ,prob_B,"Нет, пожалуйста, не делай маму ты принимаешь свои лекарства "
13,i am not your mom i am not ,prob_B,"Я не твоя мама, я не твоя мама. "
14,because you are just my friend  well yeah okay ,prob_NB,"Потому что ты просто мой друг, хорошо? "
15,how many friends do you have  how many what ,prob_B,Сколько у тебя друзей? 
16,friends friends ,prob_B,friends friends 
17,yes how many  you watch there s going to be a hymen holocaust tomorrow ,prob_B,"Да, сколько ты будешь смотреть, завтра будет холокауст-гимен. "
18,what  your mother hey we been talkin about you ,prob_B,"Что твоя мать, эй, мы говорили о тебе "
19,i think you are confused sit over here ,prob_B,"По-моему, вы запутались, сидите здесь. "
20,i am little bit shywhite smiling face tell me about yourself  finally don t be shy i m blond,prob_B,"Я немного застенчиво улыбаюсь, расскажи мне о себе, наконец-то, не стесняйся, я блондинка."
21,i only have one but i want to be a music teacher do you listen to rap music  i have to because i m working at bar,prob_B,"У меня только один, но я хочу быть учителем музыки. Ты слушаешь рэп-музыку, которую я должен слушать, потому что я работаю в баре."
22,i have a lot of piercings that i drive around  okay do you have tattoos ,prob_B,"У меня много пирсингов, что я еду вокруг хорошо у тебя есть татуировки "
23,no tattoos i have a honda civic do you produce music for artists  no i wish i was but i just working at bar,prob_B,Нет татуировок у меня есть хонда цивилизованный ты продюсер музыки для художников нет я бы хотел быть но я просто работаю в баре
24,i drive a ton of my carautomobile  nice for you which car do you have ,prob_B,"Я езжу на куче моего караутомобиля, хорошо для тебя, какая у тебя машина. "
25,i drive a ford civic it is a ford focus  good car i don t have enoygh money for this ,prob_B,"Я езжу на буддистской гражданской, это буддистская хорошая машина, у меня нет денег на это. "
26,i have no idea what that is i am more of a carautomobile person  sorry good car i don t have enough money for this ,prob_B,"Я понятия не имею, что это такое, больше как караутомобильный человек, извини за хорошую машину, у меня недостаточно денег для этого. "
27,i am not that good at all  you are good person,prob_B,"Я не настолько хороша, что ты хороший человек."
28,i am i am a pizza person  i am not chicken person,prob_B,"Я пицца, я не куриный человек."
29,i am a very good person i am not a fan of meat though  are you a vegan ,prob_B,"Я очень хороший человек, я не фанат мяса, хотя ты веган. "
30,i am not a vegan i am vegan  hey waving hand sign how is your day thinking face,prob_B,"Я не веган, я веган, эй, размахиваю рукой, как твой день мыслит лицо"
31,hello i m tired hi i am good how are you ,prob_NB,"Привет, я устала. Привет. Как дела? "
32,not good who are you  i am not a fan of that i am just hanging out with my cat do you have a pet turtle i am from the united states,prob_B,"Нехорошо, кто ты, я не фанат того, что я просто тусуюсь с моим котом. У тебя есть питомец черепаха, я из объединённых штатов."
33,i have slave you are crazy ,prob_B,"У меня есть раб, ты сумасшедший. "
34,wanna fuck you babe it is indecent unamused face,prob_B,"Хочешь трахнуться с тобой, детка, это неприлично, безобидное лицо"
35,why not are you married  i am not married i am just a lonely person ,prob_NB,"Почему ты не замужем, я не замужем, я всего лишь одинокий человек. "
36,are you girl or boy  it is indecent unamused face,prob_B,"Ты или девочка, или мальчик это непристойное, безобидное лицо"
37,fuck you it is indecent unamused face,prob_B,"Да пошёл ты, это неприлично, безобидное лицо."
38,don t be such boring i wish i could eat fish but i do not like it ,prob_B,"Не будь такой скучной, я бы хотел есть рыбу, но мне это не нравится. "
39,why  i am not sure what you mean ,prob_B,"Почему я не понимаю, что ты имеешь в виду? "
40,what is your hobby  i am a closet collector and i like to play board games ,prob_PB,"Какое у тебя хобби, я коллекционер шкафа и я люблю играть в настольные игры "
41,bonjour how are you  i m doing very good how are you doing today ,prob_NB,"Как у тебя дела, как у меня дела сегодня? "
42,i m good thanks have you ever programmed before ,prob_NB,"Спасибо, что запрограммировали раньше. "
43,i guess i ve not did you ever watch walking dead ,prob_NB,"Наверное, я никогда не видела, как ты гуляешь по мёртвым. "
44,no but i ve heard a lot about it haha it sounds horrible i ll stick to sushi also try to guess my bedroom is ,prob_B,"Нет, но я много слышал об этом, хаха. Звучит ужасно, если я придержу суши и попытаюсь догадаться, что моя спальня - "
45,i don t know purple and lime green funny you ,prob_B,Я не знаю фиолетовых и лайм зеленых смешных тебя 
46,that a nice combination of color  yeah i can see like in front of me what are you doing ,prob_PB,"что прекрасное сочетание цвета да я вижу, как передо мной что ты делаешь "
